player_id,register_date,days_since_register,last_login_days_ago,segment,is_payer,total_payment,avg_session_minutes,restaurant_level,collection_progress,vip_preference_score,event_sensitivity,churn_risk_score
P00103,2026-01-12,64,2,active_non_payers,False,0.0,52.3,26,0.631,0.418,0.704,0.195
P00104,2025-04-29,322,33,churn_risk_players,False,0.0,12.4,8,0.322,0.243,0.65,0.825
P00105,2025-02-27,383,2,high_value_payers,True,313.26,64.6,37,0.96,0.923,0.503,0.038
P00106,2025-04-27,324,11,returning_players,False,0.0,25.2,25,0.641,0.406,0.939,0.27
P00107,2025-12-18,89,3,returning_players,False,0.0,29.6,15,0.7,0.476,0.889,0.462
P00108,2025-08-31,198,44,churn_risk_players,False,0.0,17.8,12,0.467,0.185,0.715,0.947
P00109,2025-10-03,165,22,churn_risk_players,True,36.73,16.2,12,0.49,0.265,0.769,0.921
P00110,2025-07-14,246,10,returning_players,True,7.95,38.7,16,0.659,0.446,0.939,0.347
P00111,2025-07-30,230,0,active_non_payers,False,0.0,57.2,30,0.55,0.332,0.598,0.127
P00112,2025-05-11,310,2,high_value_payers,True,214.66,62.9,48,0.929,0.908,0.598,0.118
P00113,2026-02-14,31,0,active_non_payers,False,0.0,87.6,23,0.661,0.284,0.607,0.107
P00114,2026-03-13,4,2,new_players,False,0.0,22.4,2,0.091,0.227,0.544,0.481
P00115,2026-01-23,53,42,churn_risk_players,False,0.0,13.8,8,0.405,0.128,0.907,0.967
P00116,2025-09-09,189,3,active_non_payers,False,0.0,59.6,17,0.864,0.245,0.69,0.075
P00117,2025-04-25,326,34,churn_risk_players,False,0.0,20.4,7,0.281,0.149,0.588,0.957
P00118,2026-03-06,11,2,new_players,False,0.0,17.3,3,0.076,0.184,0.576,0.239
P00119,2025-09-06,192,7,returning_players,True,69.46,43.7,19,0.775,0.432,0.836,0.362
P00120,2025-08-15,214,2,active_non_payers,False,0.0,58.1,25,0.81,0.322,0.59,0.144
P00121,2025-01-29,412,1,high_value_payers,True,66.61,55.1,47,0.96,0.942,0.631,0.066
P00122,2025-11-18,119,0,active_non_payers,False,0.0,82.9,28,0.688,0.267,0.69,0.144
P00123,2025-10-03,165,41,churn_risk_players,True,19.7,10.6,12,0.354,0.409,0.586,0.873
P00124,2026-02-03,42,0,active_non_payers,False,0.0,87.7,21,0.877,0.164,0.667,0.121
P00125,2025-04-26,325,10,returning_players,False,0.0,40.3,10,0.541,0.409,0.876,0.491
P00126,2025-12-27,80,3,active_non_payers,False,0.0,57.5,23,0.876,0.155,0.818,0.113
P00127,2025-08-21,208,10,returning_players,True,26.75,33.5,27,0.62,0.471,0.829,0.221
P00128,2026-01-08,68,0,active_non_payers,False,0.0,64.8,24,0.831,0.263,0.55,0.122
P00129,2025-08-16,213,33,churn_risk_players,False,0.0,8.3,14,0.317,0.191,0.73,0.925
P00130,2026-03-11,6,1,new_players,False,0.0,13.4,2,0.065,0.154,0.51,0.314
P00131,2025-10-24,144,2,active_non_payers,False,0.0,74.1,20,0.721,0.25,0.59,0.196
P00132,2025-07-13,247,5,returning_players,True,43.74,23.4,19,0.412,0.529,0.933,0.418
P00133,2026-03-03,14,1,new_players,False,0.0,15.5,2,0.139,0.233,0.473,0.406
P00134,2025-12-10,97,1,active_non_payers,False,0.0,67.8,26,0.768,0.208,0.623,0.133
P00135,2025-11-04,133,44,churn_risk_players,False,0.0,9.7,6,0.533,0.227,0.847,0.923
P00136,2025-04-04,347,30,churn_risk_players,False,0.0,12.7,7,0.482,0.288,0.703,0.896
P00137,2026-03-13,4,2,new_players,False,0.0,23.6,1,0.07,0.268,0.437,0.307
P00138,2025-07-02,258,2,high_value_payers,True,66.62,71.3,29,0.995,0.948,0.604,0.098
P00139,2026-03-06,11,4,new_players,False,0.0,11.7,5,0.095,0.122,0.499,0.395
P00140,2025-06-26,264,35,churn_risk_players,False,0.0,10.5,7,0.338,0.206,0.612,0.967
P00141,2026-03-15,2,2,new_players,False,0.0,18.9,2,0.079,0.2,0.404,0.52
P00142,2025-07-28,232,17,churn_risk_players,False,0.0,9.5,8,0.413,0.319,0.78,0.92
P00143,2025-02-20,390,1,high_value_payers,True,128.72,62.4,38,0.916,0.817,0.462,0.081
P00144,2026-03-09,8,0,new_players,False,0.0,24.1,7,0.063,0.222,0.359,0.412
P00145,2025-10-21,147,28,churn_risk_players,False,0.0,18.7,13,0.292,0.341,0.63,0.897
P00146,2025-03-15,367,1,high_value_payers,True,128.26,51.2,46,0.876,0.949,0.554,0.046
P00147,2025-12-29,78,1,active_non_payers,False,0.0,48.3,22,0.813,0.27,0.813,0.095
P00148,2026-03-12,5,4,new_players,False,0.0,14.9,2,0.094,0.307,0.443,0.371
P00149,2026-03-07,10,4,new_players,False,0.0,14.6,3,0.131,0.297,0.418,0.331
P00150,2025-08-22,207,3,active_non_payers,False,0.0,73.3,24,0.797,0.292,0.613,0.129
P00151,2025-10-05,163,0,active_non_payers,False,0.0,83.0,30,0.76,0.168,0.594,0.102
P00152,2025-09-03,195,1,active_non_payers,False,0.0,75.1,28,0.838,0.308,0.509,0.196
P00153,2026-01-12,64,0,active_non_payers,False,0.0,83.7,24,0.885,0.243,0.622,0.092
P00154,2025-08-30,199,27,churn_risk_players,False,0.0,11.8,14,0.36,0.345,0.776,0.965
P00155,2025-09-22,176,3,active_non_payers,False,0.0,81.6,26,0.906,0.257,0.659,0.193
P00156,2025-08-14,215,1,high_value_payers,True,91.77,81.9,44,0.975,0.941,0.582,0.091
P00157,2025-12-03,104,1,active_non_payers,False,0.0,70.4,30,0.646,0.314,0.698,0.126
P00158,2026-03-13,4,4,new_players,False,0.0,15.1,2,0.05,0.148,0.514,0.333
P00159,2025-09-17,181,2,active_non_payers,False,0.0,74.9,24,0.61,0.394,0.679,0.238
P00160,2026-01-02,74,3,active_non_payers,False,0.0,73.0,30,0.91,0.172,0.525,0.141
P00161,2026-03-10,7,4,new_players,False,0.0,21.1,4,0.059,0.145,0.447,0.338
P00162,2025-11-14,123,0,active_non_payers,False,0.0,78.7,24,0.901,0.283,0.699,0.228
P00163,2025-02-14,396,0,high_value_payers,True,88.64,55.3,40,0.857,0.87,0.531,0.106
P00164,2026-03-07,10,4,new_players,False,0.0,19.0,3,0.107,0.212,0.459,0.252
P00165,2025-08-02,227,1,returning_players,False,0.0,25.1,21,0.737,0.631,0.869,0.392
P00166,2026-03-06,11,1,new_players,False,0.0,18.6,4,0.076,0.161,0.554,0.396
P00167,2025-10-04,164,43,churn_risk_players,False,0.0,10.6,10,0.291,0.267,0.864,0.961
P00168,2025-05-15,306,11,churn_risk_players,False,0.0,9.1,11,0.351,0.194,0.753,0.952
P00169,2025-10-14,154,18,churn_risk_players,False,0.0,8.6,14,0.563,0.407,0.652,0.891
P00170,2025-06-02,288,4,returning_players,False,0.0,37.1,14,0.655,0.498,0.95,0.368
P00171,2026-03-10,7,2,new_players,False,0.0,9.8,3,0.12,0.108,0.416,0.463
P00172,2025-08-26,203,27,churn_risk_players,False,0.0,11.9,15,0.182,0.229,0.717,0.906
P00173,2025-05-25,296,0,high_value_payers,True,254.27,73.6,39,0.945,0.907,0.563,0.109
P00174,2025-07-12,248,0,high_value_payers,True,170.32,43.3,38,0.933,0.975,0.673,0.037
P00175,2026-03-05,12,4,new_players,False,0.0,20.7,2,0.136,0.159,0.492,0.446
P00176,2026-03-09,8,4,new_players,False,0.0,11.4,5,0.152,0.153,0.519,0.306
P00177,2026-01-05,71,7,returning_players,False,0.0,22.3,18,0.33,0.465,0.954,0.235
P00178,2025-05-10,311,22,churn_risk_players,False,0.0,14.6,13,0.286,0.159,0.671,0.917
P00179,2025-11-13,124,0,active_non_payers,False,0.0,68.6,19,0.92,0.193,0.593,0.156
P00180,2025-11-23,114,1,active_non_payers,False,0.0,46.9,19,0.731,0.303,0.619,0.063
P00181,2025-08-14,215,19,churn_risk_players,False,0.0,11.0,6,0.261,0.201,0.803,0.907
P00182,2026-01-05,71,11,returning_players,False,0.0,24.8,13,0.581,0.454,0.86,0.276
P00183,2025-07-26,234,3,active_non_payers,False,0.0,84.3,26,0.567,0.283,0.56,0.206
P00184,2026-01-21,55,3,active_non_payers,False,0.0,45.2,20,0.688,0.149,0.664,0.085
P00185,2025-11-06,131,3,active_non_payers,False,0.0,67.9,16,0.765,0.333,0.747,0.078
P00186,2025-10-29,139,15,churn_risk_players,False,0.0,10.9,13,0.277,0.387,0.786,0.93
P00187,2026-03-10,7,3,new_players,False,0.0,19.0,3,0.033,0.173,0.362,0.307
P00188,2025-11-20,117,1,high_value_payers,True,201.44,81.1,50,0.974,0.937,0.699,0.14
P00189,2025-09-25,173,9,returning_players,False,0.0,38.2,14,0.408,0.46,0.843,0.396
P00190,2026-03-06,11,3,new_players,False,0.0,13.3,2,0.136,0.248,0.385,0.361
P00191,2025-07-11,249,42,churn_risk_players,False,0.0,10.6,14,0.353,0.22,0.768,0.934
P00192,2025-09-21,177,4,returning_players,True,16.65,21.9,26,0.708,0.472,0.751,0.229
P00193,2025-09-10,188,3,active_non_payers,False,0.0,45.8,29,0.725,0.328,0.765,0.116
P00194,2025-04-23,328,9,returning_players,False,0.0,38.4,18,0.622,0.438,0.953,0.503
P00195,2025-03-13,369,32,churn_risk_players,False,0.0,15.1,15,0.186,0.115,0.713,0.96
P00196,2025-08-07,222,2,active_non_payers,False,0.0,84.7,32,0.794,0.269,0.573,0.165
P00197,2026-03-04,13,1,new_players,False,0.0,11.1,3,0.092,0.151,0.416,0.437
P00198,2025-11-29,108,5,returning_players,False,0.0,37.4,20,0.692,0.54,0.975,0.304
P00199,2026-03-12,5,3,new_players,False,0.0,16.1,2,0.126,0.117,0.484,0.427
P00200,2026-02-07,38,1,active_non_payers,False,0.0,75.2,30,0.812,0.247,0.667,0.111
P00201,2025-08-29,200,2,active_non_payers,False,0.0,67.4,25,0.777,0.231,0.538,0.115
P00202,2025-08-05,224,40,churn_risk_players,True,17.45,19.4,7,0.483,0.343,0.886,0.931
P00203,2026-03-08,9,2,new_players,True,1.4,12.1,2,0.055,0.148,0.516,0.235
P00204,2025-09-15,183,5,returning_players,False,0.0,32.1,24,0.621,0.266,0.935,0.325
P00205,2025-04-16,335,40,churn_risk_players,False,0.0,16.1,11,0.229,0.332,0.796,0.873
P00206,2026-03-09,8,4,new_players,False,0.0,18.6,2,0.079,0.09,0.634,0.367
P00207,2025-04-19,332,14,churn_risk_players,False,0.0,9.1,17,0.515,0.209,0.875,0.913
P00208,2026-03-10,7,4,new_players,False,0.0,17.6,2,0.128,0.111,0.488,0.401
P00209,2026-01-25,51,29,churn_risk_players,True,19.74,16.2,11,0.26,0.324,0.684,0.873
P00210,2026-03-07,10,3,new_players,False,0.0,17.5,3,0.045,0.266,0.44,0.378
P00211,2025-10-22,146,1,returning_players,True,42.88,31.8,24,0.809,0.621,0.877,0.392
P00212,2025-02-22,388,28,churn_risk_players,False,0.0,13.4,13,0.392,0.23,0.734,0.88
P00213,2025-08-06,223,1,high_value_payers,True,336.07,63.9,48,0.976,0.908,0.575,0.089
P00214,2026-01-13,63,9,churn_risk_players,False,0.0,22.4,12,0.358,0.29,0.768,0.983
P00215,2025-09-21,177,0,active_non_payers,False,0.0,59.7,32,0.822,0.369,0.554,0.176
P00216,2026-01-29,47,36,churn_risk_players,False,0.0,13.9,13,0.56,0.22,0.885,0.933
P00217,2025-04-07,344,2,high_value_payers,True,169.49,76.6,46,0.917,0.973,0.433,0.144
P00218,2025-02-22,388,0,high_value_payers,True,55.82,51.7,42,0.935,0.914,0.741,0.104
P00219,2025-04-12,339,16,churn_risk_players,False,0.0,16.3,11,0.151,0.323,0.797,0.938
P00220,2025-12-28,79,11,returning_players,True,64.57,43.7,22,0.474,0.29,0.848,0.278
P00221,2025-10-31,137,21,churn_risk_players,False,0.0,17.3,9,0.263,0.331,0.823,0.955
P00222,2025-11-18,119,2,active_non_payers,False,0.0,63.4,31,0.737,0.151,0.633,0.222
P00223,2026-01-19,57,29,churn_risk_players,False,0.0,9.1,11,0.321,0.21,0.817,0.912
P00224,2026-03-10,7,3,new_players,False,0.0,16.9,2,0.03,0.157,0.446,0.452
P00225,2025-03-26,356,15,churn_risk_players,True,26.54,17.9,12,0.431,0.161,0.762,0.972
P00226,2026-01-19,57,1,active_non_payers,False,0.0,47.6,28,0.806,0.152,0.708,0.102
P00227,2025-03-20,362,37,churn_risk_players,False,0.0,13.7,8,0.32,0.259,0.828,0.926
P00228,2025-08-07,222,0,high_value_payers,True,124.0,48.1,40,0.954,0.975,0.581,0.06
P00229,2025-11-07,130,2,returning_players,False,0.0,36.1,18,0.542,0.53,0.882,0.484
P00230,2025-10-14,154,1,active_non_payers,False,0.0,69.5,21,0.906,0.203,0.648,0.102
P00231,2026-03-03,14,1,new_players,False,0.0,21.9,5,0.086,0.224,0.533,0.233
P00232,2026-03-03,14,2,new_players,False,0.0,19.1,2,0.149,0.244,0.509,0.307
P00233,2025-08-05,224,0,active_non_payers,False,0.0,61.5,15,0.669,0.215,0.617,0.1
P00234,2025-11-11,126,2,high_value_payers,True,90.42,52.1,38,0.954,0.928,0.485,0.112
P00235,2025-08-09,220,2,active_non_payers,False,0.0,71.2,32,0.715,0.258,0.633,0.226
P00236,2025-08-17,212,2,active_non_payers,False,0.0,88.5,29,0.909,0.17,0.529,0.107
P00237,2026-03-14,3,2,new_players,False,0.0,16.9,4,0.034,0.118,0.451,0.464
P00238,2025-11-19,118,9,returning_players,False,0.0,43.7,24,0.509,0.488,0.928,0.342
P00239,2025-11-04,133,0,high_value_payers,True,87.35,60.2,33,0.984,0.876,0.496,0.053
P00240,2025-04-10,341,9,churn_risk_players,True,21.69,19.0,6,0.409,0.131,0.715,0.801
P00241,2025-08-26,203,11,churn_risk_players,True,25.69,14.0,15,0.399,0.134,0.802,0.871
P00242,2025-08-03,226,1,returning_players,False,0.0,23.4,17,0.552,0.385,0.953,0.247
P00243,2026-03-03,14,1,new_players,False,0.0,20.4,1,0.026,0.193,0.499,0.388
P00244,2025-09-27,171,1,active_non_payers,False,0.0,82.4,32,0.716,0.363,0.71,0.146
P00245,2026-03-11,6,1,new_players,False,0.0,15.5,2,0.072,0.253,0.586,0.436
P00246,2026-03-07,10,4,new_players,True,11.89,20.4,3,0.061,0.117,0.486,0.322
P00247,2025-02-01,409,0,high_value_payers,True,165.07,74.2,45,0.985,0.93,0.526,0.049
P00248,2025-11-30,107,8,returning_players,False,0.0,33.2,25,0.545,0.466,0.899,0.503
P00249,2025-07-23,237,5,returning_players,False,0.0,45.2,23,0.502,0.538,0.836,0.321
P00250,2025-12-23,84,2,active_non_payers,False,0.0,68.8,26,0.858,0.244,0.588,0.135
P00251,2025-03-07,375,18,churn_risk_players,False,0.0,15.0,20,0.326,0.382,0.735,0.872
P00252,2026-03-05,12,4,new_players,False,0.0,25.3,3,0.074,0.156,0.513,0.42
P00253,2025-07-29,231,38,churn_risk_players,False,0.0,16.3,17,0.34,0.444,0.844,0.94
P00254,2025-06-07,283,1,high_value_payers,True,411.61,61.6,45,0.984,0.848,0.491,0.048
P00255,2025-12-03,104,2,active_non_payers,False,0.0,77.8,24,0.689,0.292,0.646,0.087
P00256,2025-10-05,163,44,churn_risk_players,False,0.0,14.3,14,0.429,0.279,0.714,0.954
P00257,2025-09-10,188,3,active_non_payers,False,0.0,65.8,25,0.87,0.221,0.732,0.105
P00258,2025-07-01,259,37,churn_risk_players,True,28.53,19.1,11,0.398,0.217,0.893,0.965
P00259,2025-09-25,173,2,active_non_payers,False,0.0,59.3,18,0.557,0.274,0.658,0.17
P00260,2025-08-03,226,7,returning_players,False,0.0,32.2,24,0.411,0.393,0.858,0.397
P00261,2025-09-20,178,2,active_non_payers,False,0.0,68.7,34,0.861,0.35,0.734,0.108
P00262,2025-07-13,247,1,high_value_payers,True,452.04,63.0,50,0.975,0.957,0.517,0.113
P00263,2025-08-29,200,12,churn_risk_players,False,0.0,9.0,9,0.279,0.237,0.872,0.848
P00264,2025-12-06,101,9,returning_players,False,0.0,25.6,14,0.696,0.376,0.918,0.434
P00265,2026-03-06,11,2,new_players,False,0.0,19.0,4,0.108,0.15,0.565,0.224
P00266,2026-02-03,42,2,active_non_payers,False,0.0,62.0,13,0.786,0.196,0.779,0.132
P00267,2025-05-24,297,38,churn_risk_players,False,0.0,7.7,16,0.529,0.153,0.786,0.851
P00268,2025-12-02,105,0,active_non_payers,False,0.0,44.8,18,0.692,0.283,0.67,0.232
P00269,2025-08-25,204,7,returning_players,True,69.8,38.9,13,0.754,0.539,0.921,0.36
P00270,2026-03-13,4,0,new_players,False,0.0,9.9,5,0.153,0.122,0.59,0.309
P00271,2025-11-06,131,3,active_non_payers,False,0.0,67.9,16,0.686,0.256,0.587,0.192
P00272,2025-08-29,200,18,churn_risk_players,False,0.0,20.0,21,0.29,0.346,0.735,0.842
P00273,2026-01-15,61,24,churn_risk_players,False,0.0,8.4,13,0.482,0.149,0.807,0.752
P00274,2025-04-14,337,29,churn_risk_players,False,0.0,7.8,10,0.305,0.132,0.652,0.934
P00275,2026-03-10,7,1,new_players,False,0.0,14.4,4,0.067,0.282,0.431,0.439
P00276,2026-01-04,72,2,active_non_payers,False,0.0,72.4,16,0.737,0.362,0.736,0.199
P00277,2025-08-16,213,41,churn_risk_players,False,0.0,13.5,17,0.273,0.286,0.816,0.967
P00278,2026-03-16,1,0,new_players,True,2.25,18.7,2,0.068,0.117,0.398,0.384
P00279,2025-08-10,219,1,high_value_payers,True,84.92,66.9,47,0.982,0.943,0.696,0.059
P00280,2026-01-26,50,3,active_non_payers,False,0.0,46.2,20,0.941,0.211,0.722,0.102
